DNI,Nombre,Nss,Turno,Salario
03232323P,María Luisa Galdón Ter,43534534567,noche,1200.0
04444444T,Úrsula Delta Camacho,11177788899,mañana,900.0
11111111Q,Luis Ramírez Pardo,23445556666,mañana,900.0
14111155T,Sergio Lérida Campos,55577700089,tarde,1000.0
14567555L,Piedad Colmenero Zapillo,23456734534,noche,1200.0
22222222S,María Sánchez Cid,11112223334,tarde,1000.0
33333333M,Martín Guerrero López,33344455566,tarde,1000.0
55555555J,Carmen Hernández Pío,99966633311,mañana,900.0
77777777M,Pedro Jiménez Ruiz,23456785432,tarde,1000.0
88888888O,Soledad Campillo Molina,00088877754,noche,1200.0
99999999X,Raúl Rodrigo Roca,55566677789,tarde,1000.0
